Delito,SubDelito,Fecha,Hora,Victima,SubVictima,Edad,Sexo,Nacionalidad,Provincia,Canton,Distrito,
ASALTO,ARMA BLANCA,2022-01-03,21:00:00 - 23:59:59,VEHICULO,SERVICIO PUBLICO/TAXI LEGAL O PIRATA/AUTOBUS [VEHICULO],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,ALAJUELA,
ASALTO,ARMA BLANCA,2022-01-08,00:00:00 - 02:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,ALAJUELA,ALAJUELA,
ASALTO,ARMA BLANCA,2022-01-08,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,GUANACASTE,BAGACES,
ASALTO,ARMA BLANCA,2022-01-02,12:00:00 - 14:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,CURRIDABAT,
ASALTO,ARMA BLANCA,2022-01-14,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,ASERRI,
ASALTO,ARMA BLANCA,2022-01-17,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2022-01-10,18:00:00 - 20:59:59,PERSONA,SIN CLASIFICAR [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,CARTAGO,TURRIALBA,
ASALTO,ARMA BLANCA,2022-01-15,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,EL SALVADOR,PUNTARENAS,CORREDORES,
ASALTO,ARMA BLANCA,2022-01-20,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,ALAJUELITA,
ASALTO,ARMA BLANCA,2022-01-23,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,DESCONOCIDO,FRANCIA,PUNTARENAS,QUEPOS,
ASALTO,ARMA BLANCA,2022-01-15,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,SAN RAMON,
ASALTO,ARMA BLANCA,2022-01-31,09:00:00 - 11:59:59,PERSONA,OTRO O INDETERMINADO [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,ALAJUELA,OROTINA,
ASALTO,ARMA BLANCA,2022-01-29,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,DESAMPARADOS,
ASALTO,ARMA BLANCA,2022-01-31,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Desconocido,DESCONOCIDO,NICARAGUA,CARTAGO,CARTAGO,
ASALTO,ARMA BLANCA,2022-02-02,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,LIMON,SIQUIRRES,
ASALTO,ARMA BLANCA,2022-02-02,21:00:00 - 23:59:59,PERSONA,PEATON [PERSONA],Adulto Mayor,HOMBRE,COSTA RICA,PUNTARENAS,BUENOS AIRES,
ASALTO,ARMA BLANCA,2022-02-04,21:00:00 - 23:59:59,EDIFICACION,HOTEL/MOTEL/PENSION [EDIFICACION],Mayor de edad,HOMBRE,COSTA RICA,PUNTARENAS,GOLFITO,
ASALTO,ARMA BLANCA,2022-02-07,03:00:00 - 05:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,NICARAGUA,SAN JOSE,SAN JOSE,
ASALTO,ARMA BLANCA,2022-02-02,03:00:00 - 05:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,DESCONOCIDO,COSTA RICA,PUNTARENAS,CORREDORES,
ASALTO,ARMA BLANCA,2022-02-12,03:00:00 - 05:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,HEREDIA,HEREDIA,
ASALTO,ARMA BLANCA,2022-02-11,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,SAN JOSE,MORAVIA,
ASALTO,ARMA BLANCA,2022-02-14,03:00:00 - 05:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,COSTA RICA,GUANACASTE,SANTA CRUZ,
ASALTO,ARMA BLANCA,2022-02-06,18:00:00 - 20:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,HOMBRE,NICARAGUA,ALAJUELA,SAN CARLOS,
ASALTO,ARMA BLANCA,2022-02-09,15:00:00 - 17:59:59,PERSONA,PEATON [PERSONA],Mayor de edad,MUJER,COSTA RICA,SAN JOSE,SAN JOSE,
